Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
1,313.6,0.387,0.49,3.34,,,,
2,370.49,0.45,0.57,3.96,,,,
3,345.85,0.44,0.54,3.86,,,,
4,338.56,0.352,0.49,3.07,,,,
5,317.63,0.353,0.48,3.08,,,,
6,360.59,0.403,0.54,3.29,,,,
7,318.79,0.345,0.47,2.94,,,,
8,337.88,0.407,0.52,3.19,,,,
9,381.81,0.528,0.61,4.37,,,,
10,372.43,0.453,0.57,4.03,,,,
11,351.13,0.454,0.56,3.92,,,,
12,323.28,0.359,0.48,2.9,,,,
13,330.83,0.392,0.5,3.03,,,,
14,410.12,0.523,0.64,4.56,,,,
15,358.88,0.486,0.57,4.01,,,,
16,369.42,0.456,0.57,3.74,,,,
17,408.48,0.55,0.65,4.83,,,,
18,391.5,0.556,0.63,5.03,,,,
19,360.68,0.503,0.59,4.23,,,,
20,413.87,0.552,0.65,5.03,,,,
21,388.38,0.603,0.65,5.15,,,,
22,406.6,0.589,0.66,5.47,,,,
23,391.36,0.563,0.64,4.89,,,,
24,442.02,0.632,0.71,5.78,,,,
25,399.99,0.631,0.67,5.6,442.56,0.671,6.0,fixed
26,399.03,0.53,0.63,4.79,,,,
27,420.71,0.573,0.66,5.26,,,,
28,397.43,0.573,0.65,5.12,,,,
29,425.96,0.595,0.68,5.46,,,,
30,405.68,0.637,0.68,5.54,,,,
31,386.18,0.583,0.64,5.32,,,,
32,422.23,0.634,0.69,5.62,,,,
33,403.54,0.577,0.65,5.24,,,,
34,422.43,0.63,0.69,5.69,,,,
35,429.03,0.65,0.7,5.71,,,,
36,412.32,0.58,0.66,5.58,,,,
37,433.02,0.634,0.7,5.77,,,,
38,425.0,0.597,0.68,5.65,,,,
39,399.76,0.567,0.65,5.13,,,,
40,434.99,0.652,0.71,5.71,,,,
41,412.83,0.629,0.68,5.53,,,,
42,424.53,0.633,0.69,5.86,,,,
43,418.98,0.616,0.68,5.56,,,,
44,408.66,0.638,0.68,5.68,,,,
45,437.62,0.615,0.7,5.62,,,,
46,403.07,0.595,0.66,5.23,,,,
47,442.74,0.634,0.71,5.88,,,,
48,442.33,0.629,0.71,5.83,,,,
49,421.65,0.65,0.7,5.69,,,,
50,417.08,0.595,0.67,5.5,440.44,0.676,5.99,fixed
