Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
1,385.99,0.458,0.55,3.87,,,
2,437.13,0.515,0.65,4.59,,,
3,394.83,0.455,0.55,3.77,,,
4,436.22,0.552,0.68,4.83,,,
5,403.29,0.484,0.6,4.23,,,
6,390.27,0.458,0.55,3.72,,,
7,391.84,0.437,0.53,3.46,,,
8,396.61,0.456,0.55,3.68,,,
9,370.72,0.427,0.52,3.62,,,
10,437.66,0.557,0.7,4.95,,,
11,348.03,0.349,0.43,2.7,,,
12,399.27,0.465,0.57,3.96,,,
13,434.04,0.541,0.67,4.85,,,
14,426.31,0.519,0.64,4.56,,,
15,394.34,0.468,0.56,3.93,,,
16,398.58,0.483,0.61,4.37,,,
17,321.39,0.362,0.43,3.0,,,
18,386.99,0.461,0.55,3.84,,,
19,397.31,0.488,0.6,4.35,,,
20,428.86,0.523,0.66,4.74,,,
21,400.51,0.463,0.57,4.0,,,
22,357.28,0.426,0.52,3.72,,,
23,382.34,0.435,0.54,3.74,,,
24,380.39,0.437,0.54,3.83,,,
25,445.32,0.561,0.7,5.02,,,
26,398.54,0.484,0.59,4.27,,,
27,430.28,0.531,0.65,4.6,,,
28,388.61,0.458,0.56,4.02,,,
29,391.85,0.473,0.58,4.16,,,
30,394.98,0.461,0.57,4.07,,,
31,365.29,0.425,0.52,3.63,,,
32,431.03,0.525,0.66,4.75,,,
33,412.27,0.495,0.62,4.46,,,
34,370.09,0.416,0.5,3.42,,,
35,424.52,0.52,0.64,4.62,,,
36,368.73,0.427,0.53,3.71,,,
37,357.53,0.392,0.48,3.38,,,
38,445.71,0.549,0.68,4.76,,,
39,395.5,0.475,0.58,4.04,,,
40,415.94,0.505,0.61,4.29,,,
41,389.09,0.474,0.57,4.03,,,
42,450.87,0.569,0.7,4.97,,,
43,422.67,0.521,0.64,4.6,,,
44,447.18,0.547,0.68,4.86,,,
45,463.28,0.591,0.75,5.35,,,
46,421.11,0.529,0.66,4.78,,,
47,415.19,0.493,0.61,4.37,,,
48,402.66,0.471,0.59,4.25,,,
49,425.98,0.553,0.67,4.92,,,
50,426.8,0.54,0.68,5.03,406.05,0.566,4.99
51,406.91,0.501,0.63,4.68,,,
52,410.67,0.504,0.63,4.63,,,
53,432.89,0.558,0.69,5.09,,,
54,473.15,0.628,0.81,5.95,,,
55,469.0,0.623,0.81,5.94,,,
56,411.01,0.51,0.64,4.8,,,
57,421.47,0.521,0.65,4.78,,,
58,441.73,0.562,0.72,5.31,,,
59,399.41,0.489,0.61,4.51,,,
60,403.39,0.493,0.62,4.54,,,
61,455.79,0.582,0.75,5.49,,,
62,433.75,0.549,0.71,5.28,,,
63,450.47,0.584,0.75,5.57,,,
64,458.48,0.591,0.77,5.73,,,
65,441.27,0.557,0.7,5.15,,,
66,458.79,0.596,0.76,5.6,,,
67,489.18,0.652,0.82,5.87,,,
68,453.72,0.585,0.75,5.51,,,
69,448.23,0.583,0.75,5.62,,,
70,471.54,0.616,0.8,5.9,,,
71,472.09,0.622,0.79,5.78,,,
72,471.79,0.601,0.78,5.71,,,
73,438.76,0.563,0.72,5.34,,,
74,473.59,0.619,0.81,5.94,,,
75,473.22,0.617,0.8,5.82,,,
76,453.55,0.597,0.77,5.69,,,
77,470.33,0.584,0.76,5.49,,,
78,462.71,0.61,0.77,5.67,,,
79,426.62,0.543,0.68,5.03,,,
80,450.46,0.571,0.71,5.16,,,
81,429.4,0.535,0.68,4.98,,,
82,484.19,0.652,0.83,5.99,,,
83,429.46,0.544,0.68,4.99,,,
84,459.39,0.586,0.75,5.51,,,
85,453.35,0.561,0.72,5.29,,,
86,453.43,0.574,0.74,5.41,,,
87,425.15,0.544,0.68,5.03,,,
88,424.63,0.535,0.67,4.94,,,
89,467.41,0.608,0.79,5.78,,,
90,438.6,0.56,0.71,5.23,,,
91,469.83,0.623,0.81,5.95,,,
92,434.48,0.557,0.7,5.18,,,
93,485.76,0.623,0.82,5.97,,,
94,461.79,0.605,0.77,5.61,,,
95,480.04,0.64,0.81,5.91,,,
96,420.78,0.529,0.67,4.95,,,
97,457.49,0.57,0.74,5.38,,,
98,450.3,0.58,0.73,5.34,,,
99,459.16,0.589,0.76,5.55,,,
