Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
1,352.31,0.484,0.57,4.07,,,,
2,352.58,0.452,0.56,3.61,,,,
3,342.69,0.433,0.54,3.53,,,,
4,291.57,0.308,0.43,2.33,,,,
5,322.42,0.354,0.48,2.85,,,,
6,365.29,0.457,0.56,3.68,,,,
7,354.49,0.48,0.57,4.02,,,,
8,353.96,0.498,0.58,3.99,,,,
9,335.36,0.454,0.54,3.5,,,,
10,370.04,0.477,0.57,3.97,,,,
11,415.57,0.586,0.67,5.19,,,,
12,403.12,0.56,0.65,4.77,,,,
13,391.41,0.548,0.63,4.65,,,,
14,421.39,0.568,0.66,4.82,,,,
15,379.83,0.511,0.6,4.08,,,,
16,419.11,0.624,0.68,5.35,,,,
17,438.86,0.628,0.7,5.41,,,,
18,412.45,0.625,0.68,5.42,,,,
19,392.47,0.545,0.63,4.45,,,,
20,391.11,0.518,0.62,4.44,,,,
21,394.11,0.616,0.66,5.14,,,,
22,419.75,0.609,0.68,5.48,,,,
23,381.21,0.587,0.64,5.09,,,,
24,439.12,0.625,0.7,5.26,,,,
25,396.68,0.645,0.68,5.38,442.47,0.676,6.0,fixed
26,414.86,0.6,0.67,5.39,,,,
27,437.66,0.628,0.7,5.53,,,,
28,416.56,0.628,0.68,5.52,,,,
29,447.35,0.649,0.72,5.78,,,,
30,419.91,0.678,0.71,5.58,,,,
31,417.01,0.643,0.69,5.74,,,,
32,427.19,0.661,0.71,5.79,,,,
33,419.19,0.609,0.68,5.28,,,,
34,422.47,0.634,0.69,5.63,,,,
35,436.81,0.667,0.72,5.79,,,,
36,437.33,0.648,0.71,5.91,,,,
37,438.49,0.675,0.72,5.84,,,,
38,437.36,0.638,0.71,5.87,,,,
39,428.22,0.656,0.7,5.89,,,,
40,436.95,0.642,0.71,5.44,,,,
41,422.86,0.658,0.7,5.66,,,,
42,423.61,0.637,0.69,5.64,,,,
43,431.36,0.647,0.7,5.64,,,,
44,421.33,0.682,0.71,5.9,,,,
45,451.62,0.656,0.72,5.77,,,,
46,414.87,0.646,0.69,5.58,,,,
47,445.54,0.644,0.71,5.59,,,,
48,449.07,0.636,0.71,5.74,,,,
49,433.64,0.642,0.7,5.54,,,,
50,431.3,0.625,0.7,5.69,406.47,0.585,5.0,fixed
51,423.87,0.696,0.72,5.83,,,,
52,441.22,0.658,0.72,5.65,,,,
53,416.61,0.628,0.68,5.2,,,,
54,434.38,0.635,0.7,5.43,,,,
55,385.36,0.547,0.63,4.73,,,,
56,396.37,0.591,0.65,5.07,,,,
57,423.13,0.601,0.68,5.14,,,,
58,431.81,0.615,0.69,5.51,,,,
59,396.12,0.555,0.64,4.58,,,,
60,437.34,0.634,0.7,5.56,,,,
61,398.3,0.56,0.64,4.89,,,,
62,429.62,0.594,0.68,4.91,,,,
63,406.82,0.595,0.66,4.88,,,,
64,401.21,0.557,0.64,4.76,,,,
65,373.3,0.53,0.61,4.41,,,,
66,385.47,0.562,0.63,4.79,,,,
67,382.07,0.51,0.61,4.5,,,,
68,402.67,0.549,0.64,4.55,,,,
69,371.74,0.492,0.59,4.23,,,,
70,430.07,0.563,0.67,5.0,,,,
71,375.7,0.492,0.6,4.37,,,,
72,397.75,0.563,0.64,4.93,,,,
73,388.2,0.558,0.63,4.45,,,,
74,401.19,0.563,0.65,4.86,,,,
75,368.85,0.543,0.61,4.7,402.0,0.574,4.9,fixed
76,357.29,0.506,0.58,4.22,,,,
77,389.73,0.547,0.63,4.69,,,,
78,383.0,0.512,0.61,4.02,,,,
79,391.99,0.459,0.59,3.52,,,,
80,412.43,0.571,0.66,5.16,,,,
81,399.61,0.55,0.64,4.71,,,,
82,371.79,0.499,0.6,4.03,,,,
83,391.17,0.493,0.61,3.83,,,,
84,405.82,0.523,0.63,4.43,,,,
85,361.72,0.479,0.58,3.69,,,,
86,387.07,0.437,0.58,3.4,,,,
87,389.48,0.465,0.59,3.98,,,,
88,397.69,0.566,0.64,4.65,,,,
89,415.35,0.577,0.66,4.9,,,,
90,416.48,0.58,0.66,5.03,,,,
91,398.92,0.549,0.64,4.51,,,,
92,406.83,0.564,0.65,5.04,,,,
93,398.79,0.506,0.62,4.33,,,,
94,404.78,0.546,0.64,4.64,,,,
95,373.65,0.538,0.61,4.6,,,,
96,354.45,0.477,0.57,4.31,,,,
97,395.73,0.555,0.64,4.82,,,,
98,421.88,0.548,0.66,4.45,,,,
99,409.34,0.555,0.65,4.72,,,,
100,421.91,0.565,0.66,4.55,434.57,0.63,5.11,fixed
101,357.37,0.456,0.56,3.69,,,,
102,399.54,0.555,0.64,4.57,,,,
103,434.23,0.608,0.69,5.17,,,,
104,386.9,0.522,0.62,4.13,,,,
105,402.9,0.565,0.65,4.71,,,,
106,396.13,0.55,0.64,4.63,,,,
107,385.43,0.54,0.62,4.57,,,,
108,384.46,0.508,0.61,4.37,,,,
109,394.48,0.552,0.64,4.68,,,,
110,386.37,0.57,0.64,4.82,,,,
111,400.57,0.565,0.64,4.54,,,,
112,372.8,0.505,0.6,4.36,,,,
113,403.13,0.568,0.65,4.94,,,,
114,429.6,0.621,0.69,5.36,,,,
115,404.04,0.564,0.65,4.65,,,,
116,371.91,0.505,0.6,4.15,,,,
117,434.03,0.533,0.66,4.8,,,,
118,426.77,0.603,0.68,5.05,,,,
119,403.68,0.543,0.64,4.66,,,,
120,397.17,0.54,0.63,4.62,,,,
121,420.49,0.575,0.67,4.76,,,,
122,372.16,0.514,0.6,4.31,,,,
123,417.57,0.584,0.67,5.0,,,,
124,412.28,0.543,0.65,4.63,,,,
125,424.19,0.569,0.67,4.98,437.11,0.646,5.67,fixed
126,435.03,0.621,0.7,5.39,,,,
127,386.39,0.54,0.62,4.7,,,,
128,425.78,0.603,0.68,5.24,,,,
129,416.91,0.61,0.68,5.08,,,,
130,394.35,0.558,0.64,4.84,,,,
131,436.91,0.579,0.68,5.0,,,,
132,391.82,0.556,0.63,4.59,,,,
133,420.13,0.582,0.67,4.99,,,,
134,382.14,0.524,0.61,4.32,,,,
135,391.28,0.603,0.65,5.13,,,,
136,420.23,0.624,0.69,5.36,,,,
137,418.09,0.614,0.68,5.3,,,,
138,428.03,0.598,0.68,4.89,,,,
139,411.51,0.605,0.67,5.16,,,,
140,406.96,0.57,0.65,4.87,,,,
141,396.24,0.535,0.63,4.41,,,,
142,445.77,0.612,0.7,5.59,,,,
143,413.55,0.541,0.65,4.38,,,,
144,425.45,0.607,0.68,5.05,,,,
145,403.74,0.521,0.63,4.23,,,,
146,401.11,0.496,0.62,3.97,,,,
147,396.85,0.514,0.62,4.09,,,,
148,423.28,0.574,0.67,4.56,,,,
149,401.35,0.522,0.63,4.28,,,,
150,420.96,0.595,0.67,5.17,423.74,0.615,5.39,fixed
151,419.41,0.624,0.69,5.31,,,,
152,420.39,0.645,0.69,5.62,,,,
153,412.26,0.579,0.66,4.74,,,,
154,388.94,0.543,0.63,4.57,,,,
155,417.08,0.559,0.66,4.68,,,,
156,385.91,0.474,0.59,3.96,,,,
157,410.69,0.553,0.65,4.52,,,,
158,408.22,0.571,0.66,4.96,,,,
159,394.42,0.575,0.65,4.76,,,,
160,436.55,0.615,0.69,5.36,,,,
161,406.06,0.573,0.65,4.93,,,,
162,386.06,0.555,0.63,4.77,,,,
163,423.97,0.586,0.67,5.02,,,,
164,420.47,0.614,0.68,5.33,,,,
165,396.46,0.539,0.63,4.59,,,,
166,398.02,0.5,0.62,4.17,,,,
167,421.89,0.574,0.67,4.75,,,,
168,375.58,0.513,0.6,4.1,,,,
169,405.96,0.543,0.64,4.43,,,,
170,455.97,0.642,0.72,5.69,,,,
171,430.87,0.602,0.69,5.32,,,,
172,425.13,0.631,0.69,5.5,,,,
173,432.6,0.587,0.68,4.86,,,,
174,401.78,0.538,0.64,4.41,,,,
175,413.14,0.559,0.65,4.78,399.93,0.567,4.95,fixed
176,409.97,0.57,0.66,5.02,,,,
177,422.49,0.587,0.67,4.69,,,,
178,400.61,0.54,0.64,4.69,,,,
179,435.84,0.584,0.68,4.95,,,,
180,418.88,0.613,0.68,4.98,,,,
181,402.12,0.531,0.63,4.33,,,,
182,381.97,0.539,0.62,4.47,,,,
183,373.49,0.461,0.58,3.83,,,,
184,426.0,0.632,0.69,5.34,,,,
185,422.38,0.555,0.66,4.5,,,,
186,393.6,0.527,0.63,4.71,,,,
187,413.13,0.656,0.69,5.64,,,,
188,438.25,0.63,0.7,5.49,,,,
189,424.22,0.596,0.68,4.97,,,,
190,415.4,0.632,0.69,5.38,,,,
191,422.05,0.602,0.68,5.35,,,,
192,409.03,0.612,0.67,5.04,,,,
193,416.69,0.622,0.68,5.04,,,,
194,423.84,0.629,0.69,5.37,,,,
195,431.76,0.629,0.7,5.55,,,,
196,408.88,0.635,0.68,5.36,,,,
197,433.79,0.617,0.69,5.13,,,,
198,433.36,0.647,0.71,5.43,,,,
199,417.0,0.632,0.69,5.26,,,,
200,401.83,0.614,0.67,4.83,416.71,0.598,4.93,fixed
201,393.18,0.582,0.65,4.62,,,,
202,420.68,0.613,0.68,5.07,,,,
203,422.62,0.599,0.68,4.96,,,,
204,410.41,0.585,0.66,4.84,,,,
205,394.11,0.579,0.65,4.8,,,,
206,414.5,0.559,0.66,5.06,,,,
207,406.55,0.582,0.66,4.72,,,,
208,435.83,0.623,0.7,5.23,,,,
209,395.38,0.571,0.64,4.96,,,,
210,432.55,0.619,0.69,5.1,,,,
211,396.34,0.566,0.64,4.7,,,,
212,416.12,0.578,0.66,4.9,,,,
213,410.52,0.645,0.69,5.27,,,,
214,407.91,0.549,0.65,4.63,,,,
215,400.17,0.605,0.66,5.01,,,,
216,425.72,0.608,0.68,5.1,,,,
217,422.36,0.628,0.69,5.14,,,,
218,435.59,0.618,0.7,5.38,,,,
219,442.66,0.656,0.72,5.77,,,,
220,423.15,0.614,0.68,5.28,,,,
221,439.86,0.621,0.7,5.36,,,,
222,455.17,0.599,0.7,5.02,,,,
223,419.4,0.623,0.68,5.31,,,,
